"License Number","License Type","Name of Program","AddressLine1","AddressLine2","AddressLine3","City","State","Zip","County","Phone","License Status","License Holder","Capacity","Type Of License","Restrictions","Services","Licensing Authority","Initial Effective Date","Current Effective Date","Expiration Date","License Holder Lives Onsite","EmailAddress",
"1103859","Home and Community Based Services","4 ABC Home Care Services","3300 COUNTY ROAD 10 STE 320D","","","Brooklyn Center","MN","55429-3072","Hennepin","(763) 999-4791","Active","4ABC Home Care Services","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment support services    ","None","","Minnesota Department of Human Services","04/09/2020","01/01/2026","12/31/2026","   ","4abchomecareservices@gmail.com",
"1107398","Home and Community Based Services - Community Residential Setting","ACR Homes Inc Chowen","6231 CHOWEN AVE N","","","Brooklyn Center","MN","55429-2664","Hennepin","(763) 546-8329","Active","ACR Homes Inc","3  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1068269; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Hennepin County Human Services & Public Health Dept","11/13/2020","11/01/2025","10/31/2027","No ","",
"1115767","Home and Community Based Services","Agape Home Care Services LLC","5615 BROOKLYN BLVD # 103","","","Brooklyn Center","MN","55429-3000","Hennepin","(763) 297-3690","Active","Agape Home Care Services","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  Intervention Support Services: Positive supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Residential Supports and Services: Foster Care services or supported living services; Community residential services  Employment Services: Employment development services; Employment exploration services    ","None","Satellite License Number: 1126653 (Home and Community Based Services - Community Residential Setting), Agape Home Care Services LLC; ","Minnesota Department of Human Services","02/20/2024","01/01/2026","12/31/2026","   ","",
"1111931","Home and Community Based Services","Alblecare Services LLC","3300 COUNTY ROAD 10 STE 520","","","Brooklyn Center","MN","55429-3068","Hennepin","(763) 438-0899","Active","Ablecare Services LLC","   ","Basic Support Services: Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training    ","None","","Minnesota Department of Human Services","09/27/2022","01/01/2026","12/31/2026","   ","",
"1072754","Home and Community Based Services - Residential Services Facility","Alternatives for People with Autism, Inc.-Shingle Creek Option","5624 73rd Ave N","","","Brooklyn Park","MN","55429     ","Hennepin","(763) 560-5330","Active","Alternatives for People with Autism Inc","15 ","This residential facility license is a satellite operating under 245D-HCBS Program License Number 1072752; and providing ","None","","Minnesota Department of Human Services","01/01/2014","01/01/2026","12/31/2026","   ","",
"1100647","Home and Community Based Services","AMC Care Inc","5901 BROOKLYN BLVD STE 205","","","Brooklyn Center","MN","55429-2533","Hennepin","(763) 208-2973","Closed as of 10/02/2025","AMC CARE INC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","07/23/2019","01/01/2025","12/31/2025","   ","",
"1101232","Home and Community Based Services","Ameribest Home Care LLC","7240 BROOKLYN BLVD STE 205","","","Brooklyn Park","MN","55429-1279","Hennepin","(612) 220-2220","Active","Ameribest Home Care LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Individual community living support; Individualized home supports  In-Home Support Services: Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","09/05/2019","01/01/2026","12/31/2026","   ","info@ameribest-homecare.com",
"1117606","Home and Community Based Services","American Best Home Care Inc","7038 BROOKLYN BLVD","","","Brooklyn Center","MN","55429-1370","Hennepin","(763) 398-3351","Active","AMERICAN BEST HOME CARE, INC.","   ","Basic Support Services: 24-hour emergency assistance; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Individualized home supports  Residential Supports and Services: Foster Care services or supported living services; Community residential services  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","Satellite License Number: 1123451 (Home and Community Based Services - Community Residential Setting), American Best Home Care Inc; Satellite License Number: 1123608 (Home and Community Based Services - Community Residential Setting), American Best Home Care Inc; Satellite License Number: 1123607 (Home and Community Based Services - Community Residential Setting), American Best Home Care Inc; Satellite License Number: 1123609 (Home and Community Based Services - Community Residential Setting), American Best Home Care Inc; Satellite License Number: 1123449 (Home and Community Based Services - Community Residential Setting), American Best Home Care Inc; Satellite License Number: 1123448 (Home and Community Based Services - Community Residential Setting), American Best Home Care Inc; Satellite License Number: 1123450 (Home and Community Based Services - Community Residential Setting), American Best Home Care Inc; ","Minnesota Department of Human Services","02/15/2024","01/01/2026","12/31/2026","   ","",
"1123448","Home and Community Based Services - Community Residential Setting","American Best Home Care Inc","3501 63RD AVE N","","","Brooklyn Center","MN","55429-2210","Hennepin","(763) 398-3351","Active","AMERICAN BEST HOME CARE, INC.","4  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1117606; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Hennepin County Human Services & Public Health Dept","05/08/2024","05/01/2025","04/30/2027","No ","",
"1123449","Home and Community Based Services - Community Residential Setting","American Best Home Care Inc","5012 65TH AVE N","","","Brooklyn Center","MN","55429-2009","Hennepin","(612) 247-0416","Active","AMERICAN BEST HOME CARE, INC.","4  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1117606; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Hennepin County Human Services & Public Health Dept","05/06/2024","05/01/2025","04/30/2027","No ","",
"1123451","Home and Community Based Services - Community Residential Setting","American Best Home Care Inc","5218 PAUL DR","","","Brooklyn Center","MN","55429-2027","Hennepin","(763) 398-3351","Active","AMERICAN BEST HOME CARE, INC.","4  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1117606; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Hennepin County Human Services & Public Health Dept","05/06/2024","05/01/2025","04/30/2027","No ","",
"1123608","Home and Community Based Services - Community Residential Setting","American Best Home Care Inc","6565 DOUGLAS DR N","","","Brooklyn Park","MN","55429-1521","Hennepin","(763) 398-3351","Active","AMERICAN BEST HOME CARE, INC.","4  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1117606; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Hennepin County Human Services & Public Health Dept","05/02/2024","05/01/2025","04/30/2027","No ","",
"1123609","Home and Community Based Services - Community Residential Setting","American Best Home Care Inc","3816 FRANCE PL","","","Brooklyn Center","MN","55429-3046","Hennepin","(763) 398-3351","Active","AMERICAN BEST HOME CARE, INC.","4  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1117606; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Hennepin County Human Services & Public Health Dept","05/08/2024","05/01/2025","04/30/2027","No ","",
"1068390","Home and Community Based Services","AMERICAN FAMILY HOME CARE","5901 BROOKLYN BLVD STE 208","","","Minneapolis","MN","55429-2518","Hennepin","(763) 971-8888","Active","Uplink Home Care Attn: Loveth Amayanvbo","   ","Basic Support Services: Adult companion services; Homemaker; Respite care, in home or out-of-home; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports with training; Individualized home supports with family training  Residential Supports and Services: Foster Care services or supported living services; Community residential services; Family residential services    ","None","Satellite License Number: 1122804 (Home and Community Based Services - Community Residential Setting), American Family Home Care; ","Minnesota Department of Human Services","01/01/2014","01/01/2026","12/31/2026","   ","loveth@americanfamilyhome.care",
"1080951","Home and Community Based Services","Anchor House","5501 LAKELAND AVE N # 101C","","","Minneapolis","MN","55429-3171","Hennepin","(763) 999-4600","Active","Anchor House LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","03/25/2016","01/01/2026","12/31/2026","   ","",
"1113289","Home and Community Based Services","Angel Care LLC","3300 COUNTY ROAD 10 STE 320I","","","Brooklyn Center","MN","55429-3072","Hennepin","(763) 898-7374","Closed as of 09/04/2025","Angel Care LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports    ","None","","Minnesota Department of Human Services","06/09/2023","04/29/2025","12/31/2025","   ","angelcare6436@gmail.com",
"1072753","Home and Community Based Services - Community Residential Setting","APA Little House","5600 73rd Ave North","","","Brooklyn Park","MN","55429-0000","Hennepin","(763) 560-3013","Active","Alternatives for People with Autism Inc","4  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1072752; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Hennepin County Human Services & Public Health Dept","07/01/2014","05/01/2025","04/30/2027","No ","",
"1081337","Child Care Center","Aubrey Della Early Childhood Family Development Center","6415 Brooklyn Blvd","","","Brooklyn Center","MN","55429-2174","Hennepin","(763) 535-7422","Active","Parents in Community Action, Inc.","84 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","06/21/2016","01/01/2026","12/31/2026","   ","",
"211984","Family Child Care","Bauer Kay L","5637 WELCOME AVE N","","","Crystal","MN","55429-2727","Hennepin","(612) 986-4624","Active","Kay L Bauer","10 ","Residential Dwelling","No transporting of children under age eight.    This license supersedes the previously issued license that was set to expire in 2025.","Family Child Care","Hennepin County Human Services & Public Health Dept","04/20/1994","01/01/2026","12/31/2026","Yes","kay20002@comcast.net",
"1104827","Home and Community Based Services","Bayside Homecare Inc","3300 COUNTY ROAD 10 STE 101","","","Brooklyn Center","MN","55429-3064","Hennepin","(919) 349-4929","Active","Bayside Homecare Inc","   ","Basic Support Services: Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services  Integrated Community Supports : Integrated Community Supports    ","None","","Minnesota Department of Human Services","05/11/2020","01/01/2026","12/31/2026","   ","bayhomecare18@gmail.com",
"1108015","Home and Community Based Services - Community Residential Setting","Beacon Specialized Living Quail","4710 QUAIL AVE N","","","Crystal","MN","55429-3737","Hennepin","(763) 504-1139","Active","Beacon Specialized Living Minnesota Inc","4  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1070450; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Hennepin County Human Services & Public Health Dept","01/29/2021","01/01/2024","12/31/2025","No ","",
